subgroup,modeldate,dem_estimate,dem_hi,dem_lo,rep_estimate,rep_hi,rep_lo,timestamp
All polls,1/8/2018,48.29165,54.15284,42.43045,38.03822,42.4158,33.66063,18:00:11  8 Jan 2018
Voters,1/7/2018,48.28013,54.15487,42.4054,37.9913,42.36411,33.61849,18:00:14  7 Jan 2018
Adults,1/7/2018,43.45754,51.34188,35.5732,34.39907,40.43944,28.35871,18:00:12  7 Jan 2018
All polls,1/7/2018,48.29165,54.15284,42.43045,38.03822,42.4158,33.66063,18:00:11  7 Jan 2018
Adults,1/6/2018,43.45754,51.34188,35.5732,34.39907,40.43944,28.35871,18:00:11  6 Jan 2018
Voters,1/6/2018,48.28013,54.15487,42.4054,37.9913,42.36411,33.61849,18:00:13  6 Jan 2018
All polls,1/6/2018,48.29165,54.15284,42.43045,38.03822,42.4158,33.66063,18:00:10  6 Jan 2018
Adults,1/5/2018,43.45754,51.34188,35.5732,34.39907,40.43944,28.35871,18:47:08  5 Jan 2018
Voters,1/5/2018,48.28013,54.15487,42.4054,37.9913,42.36411,33.61849,18:47:10  5 Jan 2018
All polls,1/5/2018,48.29165,54.15284,42.43045,38.03822,42.4158,33.66063,18:47:07  5 Jan 2018
Voters,1/4/2018,49.34486,55.02152,43.66819,37.61115,42.08883,33.13347,13:59:10  4 Jan 2018
Adults,1/4/2018,46.83597,54.41704,39.2549,32.90405,39.16157,26.64652,13:59:08  4 Jan 2018
All polls,1/4/2018,49.3378,55.00086,43.67474,37.65901,42.14145,33.17657,13:59:07  4 Jan 2018
Voters,1/3/2018,49.36485,55.04029,43.68941,37.65114,42.13441,33.16787,16:00:14  3 Jan 2018
Adults,1/3/2018,46.83597,54.41704,39.2549,32.90405,39.16157,26.64652,16:00:13  3 Jan 2018
All polls,1/3/2018,49.35711,55.01886,43.69535,37.69762,42.1848,33.21043,16:00:12  3 Jan 2018
Voters,1/2/2018,49.82615,55.38871,44.26359,37.16911,41.66032,32.67791,21:38:09  2 Jan 2018
Adults,1/2/2018,46.83597,54.41704,39.2549,32.90405,39.16157,26.64652,21:38:07  2 Jan 2018
All polls,1/2/2018,49.80789,55.35672,44.25905,37.22268,41.71785,32.7275,21:38:07  2 Jan 2018
Voters,1/1/2018,49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,18:00:13  1 Jan 2018
Adults,1/1/2018,47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,18:00:11  1 Jan 2018
All polls,1/1/2018,49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,18:00:11  1 Jan 2018
Voters,12/31/2017,49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,18:00:13 31 Dec 2017
Adults,12/31/2017,47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,18:00:11 31 Dec 2017
All polls,12/31/2017,49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,18:00:10 31 Dec 2017
Adults,12/30/2017,47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,18:00:11 30 Dec 2017
Voters,12/30/2017,49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,18:00:13 30 Dec 2017
All polls,12/30/2017,49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,18:00:10 30 Dec 2017
Voters,12/29/2017,49.90655,55.48521,44.32788,36.96237,41.49836,32.42639,13:59:09 29 Dec 2017
Adults,12/29/2017,47.03029,54.82681,39.23377,32.57988,38.98839,26.17136,13:59:07 29 Dec 2017
All polls,12/29/2017,49.88762,55.45254,44.3227,37.01371,41.55365,32.47378,13:59:06 29 Dec 2017
Adults,12/28/2017,46.71109,54.72491,38.69728,32.67593,39.14636,26.2055,03:19:08 28 Dec 2017
Voters,12/28/2017,50.08775,55.67794,44.49756,37.221,41.68802,32.75398,03:19:09 28 Dec 2017
All polls,12/28/2017,50.06739,55.64383,44.49096,37.26202,41.73296,32.79107,03:19:07 28 Dec 2017
Adults,12/27/2017,46.71109,54.72491,38.69728,32.67593,39.14636,26.2055,18:00:12 27 Dec 2017
Voters,12/27/2017,50.12361,55.72027,44.52695,36.76059,41.2511,32.27007,18:00:14 27 Dec 2017
All polls,12/27/2017,50.1036,55.68661,44.5206,36.80288,41.29723,32.30853,18:00:12 27 Dec 2017
Voters,12/26/2017,50.12361,55.72027,44.52695,36.76059,41.2511,32.27007,15:55:10 26 Dec 2017
Adults,12/26/2017,46.71109,54.72491,38.69728,32.67593,39.14636,26.2055,15:55:08 26 Dec 2017
All polls,12/26/2017,50.1036,55.68661,44.5206,36.80288,41.29723,32.30853,15:55:08 26 Dec 2017
Adults,12/25/2017,46.57969,54.729730000000004,38.42964,33.43643,39.79368,27.07918,18:00:12 25 Dec 2017
Voters,12/25/2017,50.11104,55.71498,44.5071,37.27848,41.52316,33.03379,18:00:13 25 Dec 2017
All polls,12/25/2017,50.09433,55.68482,44.50384,37.30924,41.55764,33.06084,18:00:11 25 Dec 2017
Voters,12/24/2017,50.11104,55.71498,44.5071,37.27848,41.52316,33.03379,03:39:10 24 Dec 2017
Adults,12/24/2017,46.57969,54.729730000000004,38.42964,33.43643,39.79368,27.07918,03:39:08 24 Dec 2017
All polls,12/24/2017,50.09433,55.68482,44.50384,37.30924,41.55764,33.06084,03:39:07 24 Dec 2017
Voters,12/23/2017,49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,18:00:13 23 Dec 2017
Adults,12/23/2017,46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,18:00:12 23 Dec 2017
All polls,12/23/2017,49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,18:00:11 23 Dec 2017
Voters,12/22/2017,49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,18:00:13 22 Dec 2017
Adults,12/22/2017,46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,18:00:12 22 Dec 2017
All polls,12/22/2017,49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,18:00:11 22 Dec 2017
Adults,12/21/2017,46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,18:00:12 21 Dec 2017
Voters,12/21/2017,49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,18:00:13 21 Dec 2017
All polls,12/21/2017,49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,18:00:11 21 Dec 2017
Voters,12/20/2017,49.65071,55.33551,43.9659,37.37798,41.57919,33.17677,14:53:11 20 Dec 2017
Adults,12/20/2017,46.23148,54.60793,37.85503,33.8049,40.15864,27.45116,14:53:09 20 Dec 2017
All polls,12/20/2017,49.63818,55.30949,43.96686,37.40224,41.60716,33.19731,14:53:08 20 Dec 2017
Adults,12/19/2017,42.49944,47.29316,37.70572,31.96229,36.76543,27.15915,14:43:07 19 Dec 2017
Voters,12/19/2017,49.32853,54.85669,43.80037,36.96882,40.96868,32.96896,14:43:09 19 Dec 2017
All polls,12/19/2017,49.3023,54.81668,43.78791,36.98446,40.98871,32.9802,14:43:06 19 Dec 2017
Adults,12/18/2017,45.90569,53.36852,38.44286,35.4286,42.01481,28.84238,18:22:08 18 Dec 2017
Voters,12/18/2017,48.68662,54.36184,43.01141,37.48215,41.37469,33.5896,18:22:09 18 Dec 2017
All polls,12/18/2017,48.91276,54.48834,43.33718,37.5025,41.39843,33.60657,18:22:07 18 Dec 2017
Voters,12/17/2017,48.47329,54.22686,42.71971,37.59333,41.53505,33.6516,15:44:09 17 Dec 2017
Adults,12/17/2017,45.90569,53.36852,38.44286,35.4286,42.01481,28.84238,15:44:08 17 Dec 2017
All polls,12/17/2017,48.74686,54.42113,43.07259,37.61108,41.57438,33.64779,15:44:07 17 Dec 2017
Voters,12/16/2017,48.47329,54.22686,42.71971,37.59333,41.53505,33.6516,18:00:13 16 Dec 2017
Adults,12/16/2017,41.82461,47.00952,36.6397,33.01813,37.90761,28.12865,18:00:11 16 Dec 2017
All polls,12/16/2017,48.46986,54.20948,42.73024,37.64967,41.59542,33.70393,18:00:10 16 Dec 2017
Voters,12/15/2017,48.47329,54.22686,42.71971,37.59333,41.53505,33.6516,15:43:09 15 Dec 2017
Adults,12/15/2017,41.82461,47.00952,36.6397,33.01813,37.90761,28.12865,15:43:07 15 Dec 2017
All polls,12/15/2017,48.46986,54.20948,42.73024,37.64967,41.59542,33.70393,15:43:06 15 Dec 2017
Voters,12/14/2017,48.70247,54.53099,42.87394,37.787350000000004,41.64703,33.92767,16:15:10 14 Dec 2017
Adults,12/14/2017,40.88459,46.46343,35.30574,34.11362,39.10289,29.12436,16:15:09 14 Dec 2017
All polls,12/14/2017,48.69125,54.50594,42.87657,37.83356,41.69732,33.96981,16:15:08 14 Dec 2017
Voters,12/13/2017,48.20757,54.01416,42.40097,37.12793,40.84842,33.40745,13:30:12 13 Dec 2017
Adults,12/13/2017,40.88459,46.46343,35.30574,34.11362,39.10289,29.12436,13:30:11 13 Dec 2017
All polls,12/13/2017,48.2,53.99256,42.40745,37.18164,40.90543,33.45784,13:30:10 13 Dec 2017
Adults,12/12/2017,40.88459,46.46343,35.30574,34.11362,39.10289,29.12436,20:32:08 12 Dec 2017
Voters,12/12/2017,47.24899,53.15026,41.34771,37.40862,41.43608,33.38115,20:32:09 12 Dec 2017
All polls,12/12/2017,47.24332,53.13039,41.35624,37.47711,41.50762,33.4466,20:32:07 12 Dec 2017
Voters,12/11/2017,46.16527,51.99783,40.33271,37.54392,41.70464,33.3832,18:00:12 11 Dec 2017
Adults,12/11/2017,41.16565,46.92412,35.40717,34.53572,39.64394,29.4275,18:00:10 11 Dec 2017
All polls,12/11/2017,46.17092,51.98892,40.35292,37.62837,41.79198,33.46476,18:00:09 11 Dec 2017
Adults,12/10/2017,41.16565,46.92412,35.40717,34.53572,39.64394,29.4275,18:27:07 10 Dec 2017
Voters,12/10/2017,46.16527,51.99783,40.33271,37.54392,41.70464,33.3832,18:27:09 10 Dec 2017
All polls,12/10/2017,46.17092,51.98892,40.35292,37.62837,41.79198,33.46476,18:27:06 10 Dec 2017
Adults,12/9/2017,40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,18:00:10  9 Dec 2017
Voters,12/9/2017,46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,18:00:12  9 Dec 2017
All polls,12/9/2017,46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,18:00:10  9 Dec 2017
Voters,12/8/2017,46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,18:00:13  8 Dec 2017
Adults,12/8/2017,40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,18:00:12  8 Dec 2017
All polls,12/8/2017,46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,18:00:11  8 Dec 2017
Voters,12/7/2017,46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,18:00:14  7 Dec 2017
Adults,12/7/2017,40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,18:00:12  7 Dec 2017
All polls,12/7/2017,46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,18:00:11  7 Dec 2017
Voters,12/6/2017,46.23388,52.0851,40.38266,37.97556,42.08656,33.86456,12:14:09  6 Dec 2017
Adults,12/6/2017,40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,12:14:08  6 Dec 2017
All polls,12/6/2017,46.23886,52.0757,40.40202,38.05549,42.1697,33.94128,12:14:07  6 Dec 2017
Voters,12/5/2017,46.22324,52.07066,40.37581,37.50686,41.71905,33.294670000000004,15:25:10  5 Dec 2017
Adults,12/5/2017,40.59549,46.52255,34.66842,35.28497,40.55853,30.01142,15:25:09  5 Dec 2017
All polls,12/5/2017,46.22826,52.06171,40.39481,37.59274,41.80819,33.37728,15:25:08  5 Dec 2017
Voters,12/4/2017,45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,18:00:12  4 Dec 2017
Adults,12/4/2017,40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,18:00:11  4 Dec 2017
All polls,12/4/2017,45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,18:00:10  4 Dec 2017
Adults,12/3/2017,40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,18:00:10  3 Dec 2017
Voters,12/3/2017,45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,18:00:12  3 Dec 2017
All polls,12/3/2017,45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,18:00:09  3 Dec 2017
Voters,12/2/2017,45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,18:00:11  2 Dec 2017
Adults,12/2/2017,40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,18:00:10  2 Dec 2017
All polls,12/2/2017,45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,18:00:09  2 Dec 2017
Adults,12/1/2017,40.12899,46.23104,34.02694,32.70291,37.97496,27.43086,16:21:08  1 Dec 2017
Voters,12/1/2017,45.76001,51.54951,39.9705,37.59576,42.20414,32.98738,16:21:09  1 Dec 2017
All polls,12/1/2017,45.78395,51.55761,40.01028,37.68958,42.29958,33.07959,16:21:07  1 Dec 2017
Adults,11/30/2017,40.48259,46.66079,34.3044,33.48915,38.80286,28.17543,18:00:11 30 Nov 2017
Voters,11/30/2017,45.91176,51.71432,40.1092,38.03933,42.56534,33.51333,18:00:13 30 Nov 2017
All polls,11/30/2017,45.93464,51.72166,40.14762,38.12389,42.65174,33.59604,18:00:11 30 Nov 2017
Voters,11/29/2017,45.91176,51.71432,40.1092,38.03933,42.56534,33.51333,14:09:08 29 Nov 2017
Adults,11/29/2017,40.48259,46.66079,34.3044,33.48915,38.80286,28.17543,14:09:07 29 Nov 2017
All polls,11/29/2017,45.93464,51.72166,40.14762,38.12389,42.65174,33.59604,14:09:06 29 Nov 2017
Voters,11/28/2017,46.56831,52.28759,40.84903,37.2389,41.9704,32.5074,14:51:08 28 Nov 2017
Adults,11/28/2017,41.45461,47.87068,35.03854,32.39157,38.0916,26.69154,14:51:07 28 Nov 2017
All polls,11/28/2017,46.58801,52.29243,40.88358,37.33114,42.06528,32.597,14:51:06 28 Nov 2017
Voters,11/27/2017,46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,18:00:14 27 Nov 2017
Adults,11/27/2017,42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,18:00:13 27 Nov 2017
All polls,11/27/2017,46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,18:00:12 27 Nov 2017
Voters,11/26/2017,46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,18:00:12 26 Nov 2017
Adults,11/26/2017,42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,18:00:11 26 Nov 2017
All polls,11/26/2017,46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,18:00:10 26 Nov 2017
Voters,11/25/2017,46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,18:00:14 25 Nov 2017
Adults,11/25/2017,42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,18:00:12 25 Nov 2017
All polls,11/25/2017,46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,18:00:11 25 Nov 2017
Adults,11/24/2017,42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,18:00:11 24 Nov 2017
Voters,11/24/2017,46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,18:00:12 24 Nov 2017
All polls,11/24/2017,46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,18:00:10 24 Nov 2017
Voters,11/23/2017,46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,18:00:12 23 Nov 2017
Adults,11/23/2017,42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,18:00:10 23 Nov 2017
All polls,11/23/2017,46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,18:00:10 23 Nov 2017
Adults,11/22/2017,42.15246,48.68332,35.6216,32.9512,38.71828,27.18412,12:01:07 22 Nov 2017
Voters,11/22/2017,46.76479,52.4745,41.05508,37.61529,42.25965,32.97092,12:01:09 22 Nov 2017
All polls,11/22/2017,46.78101,52.47598,41.08603,37.69709,42.3442,33.04999,12:01:07 22 Nov 2017
Adults,11/21/2017,42.33366,49.11651,35.55081,34.52193,40.33319,28.71066,12:41:07 21 Nov 2017
Voters,11/21/2017,46.75207,52.51483,40.98932,38.70193,43.22048,34.18337,12:41:08 21 Nov 2017
All polls,11/21/2017,46.77758,52.52421,41.03094,38.75728,43.28059,34.23398,12:41:06 21 Nov 2017
Voters,11/20/2017,48.0835,54.01891,42.14809,37.66574,42.14154,33.18993,14:33:08 20 Nov 2017
Adults,11/20/2017,42.33366,49.11651,35.55081,34.52193,40.33319,28.71066,14:33:07 20 Nov 2017
All polls,11/20/2017,48.09614,54.01543,42.17685,37.74938,42.23086,33.2679,14:33:06 20 Nov 2017
Adults,11/19/2017,43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,18:00:11 19 Nov 2017
Voters,11/19/2017,48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,18:00:12 19 Nov 2017
All polls,11/19/2017,48.33765,54.2643,42.411,37.29528,41.87936,32.71121,18:00:10 19 Nov 2017
Voters,11/18/2017,48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,18:00:11 18 Nov 2017
Adults,11/18/2017,43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,18:00:10 18 Nov 2017
All polls,11/18/2017,48.33765,54.2643,42.411,37.29528,41.87936,32.71121,18:00:10 18 Nov 2017
Voters,11/17/2017,48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,18:00:12 17 Nov 2017
Adults,11/17/2017,43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,18:00:11 17 Nov 2017
All polls,11/17/2017,48.33765,54.2643,42.411,37.29528,41.87936,32.71121,18:00:11 17 Nov 2017
Voters,11/16/2017,48.32727,54.27097,42.38358,37.21306,41.79028,32.63585,15:46:09 16 Nov 2017
Adults,11/16/2017,43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,15:46:07 16 Nov 2017
All polls,11/16/2017,48.33765,54.2643,42.411,37.29528,41.87936,32.71121,15:46:07 16 Nov 2017
Adults,11/15/2017,43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,15:04:07 15 Nov 2017
Voters,11/15/2017,48.37262,54.45415,42.2911,37.11549,41.71094,32.52005,15:04:08 15 Nov 2017
All polls,11/15/2017,48.38566,54.44902,42.3223,37.20691,41.80945,32.60437,15:04:07 15 Nov 2017
Voters,11/14/2017,48.48707,54.66044,42.3137,37.128660000000004,41.78582,32.47151,15:07:09 14 Nov 2017
Adults,11/14/2017,43.12021,49.99822,36.24221,33.21011,39.33531,27.08492,15:07:08 14 Nov 2017
All polls,11/14/2017,48.49412,54.64724,42.341,37.22258,41.88878,32.55638,15:07:07 14 Nov 2017
Adults,11/13/2017,43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,18:00:11 13 Nov 2017
Voters,11/13/2017,46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,18:00:12 13 Nov 2017
All polls,11/13/2017,46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,18:00:11 13 Nov 2017
Adults,11/12/2017,43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,18:00:11 12 Nov 2017
Voters,11/12/2017,46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,18:00:12 12 Nov 2017
All polls,11/12/2017,46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,18:00:10 12 Nov 2017
Voters,11/11/2017,46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,18:00:13 11 Nov 2017
Adults,11/11/2017,43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,18:00:12 11 Nov 2017
All polls,11/11/2017,46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,18:00:11 11 Nov 2017
Voters,11/10/2017,46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,18:00:12 10 Nov 2017
Adults,11/10/2017,43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,18:00:11 10 Nov 2017
All polls,11/10/2017,46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,18:00:10 10 Nov 2017
Voters,11/9/2017,46.81214,53.00692,40.61737,38.11354,43.07285,33.15424,15:20:11  9 Nov 2017
Adults,11/9/2017,43.91666,50.98572,36.84761,34.41046,40.60122,28.21971,15:20:10  9 Nov 2017
All polls,11/9/2017,46.84162,53.01256,40.67067,38.20643,43.17699,33.23588,15:20:09  9 Nov 2017
Voters,11/8/2017,47.53682,53.63612,41.43751,37.78749,42.84137,32.7336,15:29:08  8 Nov 2017
Adults,11/8/2017,44.38585,51.48385,37.28785,33.81781,40.14598,27.48964,15:29:07  8 Nov 2017
